Name,Birthday,Outcome Type,Outcome Subtype,Animal Type,Sex,Breed,Color
Tank,9/9/15,Adoption,,Dog,Neutered Male,American Bulldog,Black/White
Spud,1/2/14,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Tan
,5/26/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Black
Levi,3/4/15,Return to Owner,,Dog,Intact Male,Black/Tan Hound,Black/Tan
*Mouse,4/2/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Brown Tabby
,5/1/16,Died,In Foster,Dog,Intact Female,Chihuahua Shorthair Mix,White/Black
,5/26/19,Adoption,,Cat,Neutered Male,Domestic Medium Hair,Orange Tabby/White
*Snickers,4/17/14,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
,7/10/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Orange Tabby
,6/25/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Orange Tabby/White
,6/25/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Orange Tabby
*Eloise,6/7/12,Adoption,Foster,Dog,Spayed Female,Dachshund Wirehair Mix,Black/Tan
,7/10/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Blue
Ziggy,11/29/14,Return to Owner,,Dog,Intact Female,Pit Bull Mix,White/Tan
Olive,4/20/15,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Torbie/White
,3/10/14,Transfer,Partner,Other,Unknown,Hamster Mix,Gray
*Argus,7/27/18,Adoption,,Dog,Neutered Male,Pit Bull/Labrador Retriever,Black/White
*Dandelion,3/8/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Cream Tabby
Chai,6/1/08,Return to Owner,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie/Calico
,9/6/18,Transfer,Partner,Other,Unknown,Tortoise,Brown
*Mariah,7/7/12,Transfer,Partner,Cat,Intact Female,Domestic Longhair Mix,Torbie
Jasper,7/1/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Brown Tabby
Chance,8/23/13,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Tan
Widow,4/21/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Black
*Salsa,7/15/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Blue Tabby/White
,11/12/12,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair,Torbie
,4/18/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White
Kari,8/5/15,Transfer,Partner,Cat,Intact Female,Siamese Mix,Seal Point
*Tootsie,3/19/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
,7/15/05,Euthanasia,Suffering,Dog,Intact Male,Shetland Sheepdog Mix,Brown
,11/4/14,Adoption,,Dog,Neutered Male,Miniature Poodle,White
Princess,7/15/12,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
*Pippa,4/24/15,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White
Chicka,11/13/12,Euthanasia,Suffering,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan
*Leanda,8/6/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
Diesel,4/11/10,Transfer,Partner,Dog,Neutered Male,Labrador Retriever Mix,Brown
Maggie,3/26/05,Return to Owner,,Dog,Spayed Female,Labrador Retriever Mix,Buff/Tan
,9/4/13,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue/White
,8/12/14,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby
*Star,11/28/13,Transfer,Partner,Dog,Spayed Female,German Shepherd Mix,Black/Tan
Zuzu,5/12/11,Return to Owner,,Dog,Spayed Female,Doberman Pinsch/Pit Bull,Black/Tan
Rita,4/10/15,Adoption,,Dog,Spayed Female,Brittany/Labrador Retriever,Red
Max,2/13/08,Return to Owner,,Dog,Neutered Male,Pit Bull,Tan/White
*Aldo,11/3/12,Adoption,,Dog,Neutered Male,Miniature Poodle Mix,White
Princess,8/5/11,Transfer,Partner,Other,Intact Female,Guinea Pig,Tricolor
Duchess,1/17/12,Return to Owner,,Dog,Spayed Female,Chihuahua Longhair Mix,Black/Tan
*Jehosephat,4/22/16,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
Bruno,9/11/17,Adoption,,Dog,Neutered Male,Miniature Pinscher/Dachshund,Red/Tricolor
,10/16/13,Transfer,Partner,Other,Unknown,Rabbit Sh Mix,Brown
Mac,1/5/04,Return to Owner,,Dog,Intact Male,Miniature Pinscher Mix,Black/Tan
Duke,5/1/19,Adoption,,Dog,Neutered Male,Basenji Mix,Brown Brindle/White
Rex,1/6/16,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Tricolor/White
,12/12/16,Transfer,Partner,Dog,Intact Male,Labrador Retriever/Pit Bull,Tan/Black
,6/15/16,Adoption,,Dog,Intact Male,Wire Hair Fox Terrier/Dachshund,Black/Tan
,12/3/11,Transfer,SCRP,Cat,Neutered Male,Siamese Mix,Flame Point
,7/9/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Black/White
Duke,5/1/19,Adoption,,Dog,Neutered Male,Basenji Mix,Brown Brindle/White
Vayolet,9/13/17,Return to Owner,,Dog,Intact Female,German Shepherd Mix,Tan
*Curvee,2/18/19,Adoption,,Dog,Spayed Female,Australian Cattle Dog,Black/White
Raeni,8/16/17,Adoption,,Dog,Spayed Female,Pit Bull,Gray/White
,5/28/15,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby
,6/22/16,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,White/Blue
*Phoenix,8/22/18,Adoption,,Cat,Spayed Female,Domestic Shorthair,Tortie
,7/9/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Black
,9/2/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,White/Black
*Tucker,7/19/16,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Black/White
Muffins,3/4/15,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
Cookie,5/7/06,Return to Owner,,Dog,Spayed Female,Miniature Poodle Mix,Cream/Black
Arrow,3/8/12,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Tan
,4/29/15,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black
Cookie,2/18/18,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
Coco,8/22/07,Return to Owner,,Dog,Spayed Female,Boxer,Brown/White
,4/19/15,Transfer,Partner,Cat,Intact Female,Siamese Mix,Seal Point
,5/22/12,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,White/Brown Tabby
,5/1/16,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black/White
Black,5/16/15,Adoption,,Dog,Neutered Male,Pit Bull Mix,Black/White
*Sharona,7/31/13,Adoption,,Dog,Spayed Female,Staffordshire Mix,Black/White
,12/27/14,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black
*Bonny,10/20/16,Adoption,Foster,Dog,Spayed Female,Pit Bull Mix,Black
*Manila,1/2/19,Adoption,,Dog,Neutered Male,Pit Bull Mix,Black/White
Taz,3/27/15,Adoption,,Dog,Neutered Male,Cairn Terrier Mix,Gray/White
*Cheyenne,6/23/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
,3/11/19,Transfer,Snr,Cat,Intact Male,Domestic Shorthair,Orange Tabby
*Rosette,8/31/18,Adoption,,Dog,Spayed Female,Plott Hound/Blue Lacy,Black Brindle
*Flint,9/7/13,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White
Dude,6/24/12,Adoption,,Dog,Neutered Male,Chihuahua Shorthair,Tan
Kobe,11/6/18,Adoption,,Dog,Neutered Male,Cardigan Welsh Corgi Mix,Brown/White
,4/15/14,Euthanasia,Medical,Other,Unknown,Opossum,Gray
,7/9/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Black/White
Layla,7/13/08,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White
Lokita,8/5/08,Transfer,Partner,Cat,Spayed Female,Domestic Longhair Mix,Black/White
Pancho,11/12/13,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Brown/White
,2/2/15,Transfer,Partner,Dog,Intact Male,Australian Shepherd/Anatol Shepherd,Blue Merle/White
*Amy,10/20/13,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black/White
Taz,8/5/12,Adoption,Foster,Cat,Neutered Male,Siamese Mix,Lynx Point
,3/11/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Brown Tabby
Noah,5/29/17,Adoption,,Dog,Neutered Male,Miniature Poodle Mix,White
Harley,5/29/05,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown
,11/16/14,Adoption,,Dog,Neutered Male,German Shepherd/Alaskan Malamute,Sable/White
Diamond,5/7/14,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,White
Ayo,11/12/13,Return to Owner,,Dog,Intact Male,American Bulldog Mix,White/Brown
*Farrah,6/30/15,Adoption,,Dog,Spayed Female,Australian Shepherd Mix,Tan
Midnight,11/7/10,Adoption,,Dog,Neutered Male,Australian Shepherd Mix,Black/Tan
*Dori,12/2/13,Adoption,,Dog,Spayed Female,German Shepherd Mix,Tan
Babaji,4/9/16,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby
*Horton,1/3/09,Transfer,Partner,Dog,Intact Male,Australian Cattle Dog Mix,Brown Brindle/White
,8/24/14,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black/White
,5/21/12,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White
Nina,1/25/12,Adoption,,Dog,Spayed Female,Flat Coat Retriever Mix,Black
Bobby,5/28/12,Return to Owner,,Dog,Neutered Male,German Shepherd Mix,Tan/Black
*Wren,10/10/15,Transfer,Partner,Dog,Neutered Male,Doberman Pinsch Mix,Black/Tan
*Nicolo,5/11/16,Adoption,,Dog,Neutered Male,Catahoula Mix,Brown Brindle
Millie,9/22/14,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair,Calico
*Mark,9/22/15,Transfer,Partner,Cat,Intact Male,Domestic Medium Hair Mix,Blue/White
Chula,8/8/13,Adoption,,Dog,Spayed Female,Siberian Husky/Border Collie,Tricolor
Runster,4/17/15,Return to Owner,,Dog,Neutered Male,Basenji Mix,Sable/White
,5/17/16,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby
Oso,4/6/08,Return to Owner,,Dog,Neutered Male,Miniature Poodle Mix,White
Wesson,3/6/15,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Brown/White
*Olive,9/16/13,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black
Zeus Thunder,12/24/18,Transfer,Partner,Dog,Intact Male,Dachshund Mix,Tan/White
Layla,2/28/14,Return to Owner,,Dog,Spayed Female,German Shepherd Mix,Brown/Black
,7/30/14,Euthanasia,Suffering,Cat,Unknown,Domestic Medium Hair Mix,Gray/White
,9/3/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Calico
Bud,11/16/18,Return to Owner,,Dog,Intact Male,Labrador Retriever,Red
,6/6/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
Fetty,9/16/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
Baby,4/15/16,Adoption,,Dog,Spayed Female,Plott Hound Mix,Brown Brindle
Dixie,9/12/15,Transfer,Partner,Dog,Intact Female,Shih Tzu,White
,12/13/14,Euthanasia,Suffering,Dog,Intact Male,Pit Bull Mix,Black Brindle/White
*Edison,8/4/15,Adoption,,Dog,Neutered Male,Cairn Terrier Mix,Tan
Bella,9/12/17,Adoption,,Cat,Spayed Female,Domestic Medium Hair,Torbie/White
,8/26/12,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown
*Delorian,1/12/19,Transfer,Partner,Dog,Intact Male,German Shepherd,Tan/Black
Oreo,12/14/18,Return to Owner,,Dog,Intact Female,Miniature Poodle Mix,Black/White
Angus,6/15/17,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue
,6/28/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black Tabby
Lapis Lazuli,5/9/10,Return to Owner,,Dog,Spayed Female,Labrador Retriever/Chow Chow,Brown/White
Scooby,3/13/16,Adoption,,Dog,Neutered Male,Anatol Shepherd/Black Mouth Cur,Tan/Black
Angus,6/15/17,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue
*Atticus,12/16/03,Return to Owner,,Cat,Neutered Male,Siamese Mix,Lynx Point
*Sandy,5/15/14,Adoption,,Dog,Spayed Female,Boxer Mix,Red/White
Spud,2/9/13,Return to Owner,,Dog,Intact Male,Bull Terrier Mix,Black/White
Jack,10/28/17,Adoption,,Cat,Neutered Male,Ragdoll Mix,Flame Point
Elvis,6/6/07,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,White/Black
Grigri,5/3/19,Adoption,,Dog,Spayed Female,Australian Cattle Dog Mix,Tan/Tricolor
*Harold,12/11/11,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan
Bailey,3/15/18,Adoption,,Dog,Neutered Male,Siberian Husky,Gray/Black
,9/24/15,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby/White
Jasmine,5/19/19,Adoption,,Dog,Spayed Female,Plott Hound/Labrador Retriever,Brown Brindle
Angel,5/3/19,Adoption,,Cat,Spayed Female,Siamese Mix,Tortie Point
Karati,2/12/16,Adoption,,Dog,Intact Female,Labrador Retriever Mix,Black/White
Addison,3/22/16,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White
*Princess,4/7/16,Adoption,,Cat,Spayed Female,Domestic Longhair Mix,Black/White
Romero,7/13/12,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,White/Brown
Sunny,4/7/19,Adoption,,Dog,Neutered Male,Alaskan Husky,Brown/White
Jessie,1/2/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Lynx Point
*Milo,4/8/15,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
*Simba,5/3/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Orange Tabby
Max,1/20/19,Adoption,,Dog,Neutered Male,German Shorthair Pointer,Chocolate/White
,7/20/12,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Black/White
*Wyatt,5/19/14,Transfer,Partner,Dog,Intact Male,German Shepherd,Black/Tan
Jasmine,5/20/14,Adoption,,Cat,Spayed Female,Siamese Mix,Lynx Point
Queenie,11/28/08,Return to Owner,,Dog,Spayed Female,Yorkshire Terrier Mix,Brown
,5/27/14,Transfer,Partner,Dog,Intact Female,Labrador Retriever/Pembroke Welsh Corgi,Tan/White
,12/3/11,Euthanasia,Aggressive,Dog,Intact Male,Labrador Retriever Mix,Tan
Chicago,9/10/13,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Blue/White
Bell,9/16/16,Return to Owner,,Dog,Spayed Female,Labrador Retriever,Black
,6/22/13,Euthanasia,Suffering,Other,Unknown,Raccoon,Gray/Black
*Alfred,4/26/15,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Black
Bella,4/24/11,Adoption,Foster,Dog,Spayed Female,Yorkshire Terrier Mix,Black/Brown
,5/25/14,Euthanasia,Suffering,Other,Unknown,Squirrel Mix,Brown/Tan
*Perdy,7/9/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Orange Tabby
Banjo,9/15/17,Return to Owner,,Cat,Neutered Male,Siamese Mix,Flame Point
*Kit Kat,7/13/15,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Black/White
,7/6/11,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Brown
Beyonce,9/3/13,Return to Owner,,Dog,Spayed Female,American Pit Bull Terrier Mix,Fawn/White
Buck,10/16/13,Adoption,,Dog,Intact Male,Chihuahua Shorthair Mix,Red
Jane,3/19/01,Return to Owner,,Dog,Spayed Female,Shih Tzu Mix,Tan/White
,7/28/13,Adoption,,Dog,Spayed Female,Dachshund Wirehair/Border Terrier,Black/Tan
Lady,6/16/11,Adoption,,Dog,Spayed Female,German Shepherd Mix,Brown/Black
Tucker,8/4/08,Adoption,,Bird,Intact Male,Duck Mix,Black
*Tye,2/19/14,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/Brown Brindle
Luna,11/5/12,Adoption,,Dog,Spayed Female,Australian Shepherd Mix,Tricolor
*Clark,5/9/16,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,White/Black
*Twix,9/19/11,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor
,4/26/16,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
Valentina,2/13/13,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby
Poptart,7/30/09,Adoption,,Dog,Spayed Female,Pit Bull/German Shepherd,Sable/White
,4/2/14,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
Blue,4/15/15,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,White
*Quentin,3/27/13,Transfer,Partner,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White
,7/9/13,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,White/Orange
*Dane,5/6/15,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,White/Brown
,4/4/16,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby
,10/6/15,Euthanasia,Rabies Risk,Other,Unknown,Bat,Black/Brown
,6/3/19,Transfer,,Bird,Unknown,Bluebird,Blue/White
,6/28/14,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,White
Penny,5/13/14,Adoption,,Dog,Spayed Female,Staffordshire Mix,Yellow Brindle/White
*Spirit,5/31/14,Adoption,,Dog,Neutered Male,Siberian Husky Mix,White/Black
,9/19/16,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black
Lily,9/18/15,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White
,2/12/19,Adoption,,Dog,Neutered Male,Miniature Pinscher,Black/Brown
*Ted,6/27/12,Transfer,Partner,Cat,Neutered Male,Snowshoe,Seal Point
Brodie,2/29/12,Return to Owner,,Dog,Neutered Male,American Bulldog/Pit Bull,White
,9/16/18,Euthanasia,Rabies Risk,Other,Unknown,Skunk,Black/White
*Mia,10/25/13,Adoption,,Dog,Spayed Female,Pit Bull Mix,White/Brown
Toby,11/11/11,Return to Owner,,Dog,Neutered Male,Maltese/Miniature Poodle,White
*Bambino,3/29/14,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White
,10/2/13,Euthanasia,Suffering,Other,Intact Female,Opossum,Gray
*Carson,11/18/13,Adoption,,Dog,Neutered Male,Rat Terrier Mix,White/Black
Bear,9/8/15,Return to Owner,,Dog,Neutered Male,Great Pyrenees,White/White
*Belle,6/26/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Torbie
Brandy,2/8/14,Adoption,,Dog,Spayed Female,Dachshund Mix,Brown Brindle/White
,8/1/12,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
,9/20/15,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White
Bishop,12/25/12,Return to Owner,,Dog,Neutered Male,Mastiff Mix,Tan
Copper,12/26/13,Return to Owner,,Dog,Neutered Male,Black/Tan Hound Mix,Black/Tan
,4/15/15,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Blue
*Spatz,4/3/15,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
*Charles,8/3/06,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
*Ozzy,4/17/17,Adoption,,Cat,Neutered Male,Domestic Medium Hair Mix,Black
*Melissa,4/16/03,Transfer,Partner,Dog,Spayed Female,Dachshund Mix,Blue Merle
Daisy,8/9/10,Adoption,,Dog,Spayed Female,Basset Hound Mix,Tricolor
*Junebug,6/10/16,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Tan
*Joey,4/17/17,Adoption,,Cat,Neutered Male,Domestic Medium Hair Mix,Black
*Daisy,8/3/14,Adoption,,Dog,Spayed Female,Pit Bull/Australian Cattle Dog,Black/White
*Luis,5/18/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Brown Tabby
,1/21/14,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Black/White
Boss,4/28/14,Return to Owner,,Dog,Intact Male,Rhod Ridgeback Mix,Red
Maverick,4/21/16,Adoption,,Dog,Neutered Male,Pit Bull Mix,Tan/White
,6/24/15,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
,11/20/13,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
,6/5/15,Adoption,,Dog,Spayed Female,Beagle Mix,White/Tricolor
*Lucy,5/18/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Calico
,5/1/15,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue/White
,9/14/14,Euthanasia,Suffering,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Tan
*Boomer,9/12/13,Transfer,Partner,Dog,Neutered Male,Soft Coated Wheaten Terrier Mix,Black/White
,11/9/14,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
Suzie,4/20/06,Adoption,,Dog,Spayed Female,Border Collie Mix,Black/Tan
*Bart,4/9/16,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby
,9/12/17,Adoption,,Dog,Spayed Female,Maltese,White
,4/13/14,Transfer,Partner,Dog,Intact Male,Black Mouth Cur Mix,Tan
Lucy,7/18/12,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black/White
*Timon,8/31/12,Adoption,,Dog,Spayed Female,Chihuahua Shorthair,Brown
*Georgia,4/16/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie/White
Constable,8/4/14,Return to Owner,,Dog,Intact Male,Labrador Retriever/Border Collie,Black/White
Peanut,6/19/08,Adoption,,Dog,Neutered Male,Pekingese,Gold
,8/29/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Brown Tabby/White
,6/12/19,Adoption,,Dog,Spayed Female,American Bulldog/Labrador Retriever,White/Black
,10/14/13,Transfer,Partner,Other,Unknown,Lizard Mix,Green
*Cupcake,9/8/18,Adoption,,Dog,Neutered Male,Golden Retriever Mix,Tan/White
*Beatle,9/11/18,Adoption,,Dog,Neutered Male,Beagle/Borzoi,White/Tan
Beka,6/28/12,Return to Owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tricolor
Guera,5/24/13,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Brown
Floyd,7/12/15,Adoption,,Dog,Neutered Male,Rottweiler Mix,Black/Brown
,9/22/15,Euthanasia,Rabies Risk,Other,Unknown,Bat,Brown
Draco,9/2/17,Adoption,,Dog,Neutered Male,Pit Bull,Tan/Black
Killer,12/23/11,Euthanasia,Suffering,Dog,Intact Male,Pit Bull Mix,Fawn/White
,10/3/13,Adoption,,Dog,Spayed Female,Plott Hound Mix,Brown Brindle/White
*Nettie,11/15/05,Transfer,Partner,Dog,Spayed Female,Rat Terrier Mix,Tricolor
,10/5/13,Transfer,Partner,Dog,Intact Male,Australian Cattle Dog Mix,Tan/Brown
Velvet,2/7/12,Return to Owner,,Dog,Spayed Female,Chihuahua Longhair Mix,Gray/White
*Logan,6/6/15,Died,In Kennel,Cat,Intact Male,Snowshoe Mix,Seal Point
*Priscilla,4/21/16,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby
,9/4/17,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Black/White
Buster,9/7/10,Return to Owner,,Dog,Spayed Female,Dachshund Mix,Black
Baby,12/30/10,Return to Owner,,Dog,Spayed Female,Beagle Mix,White/Black
Cinabun,10/19/07,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan
Luna,7/20/13,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Chocolate/White
,5/25/13,Transfer,SCRP,Cat,Unknown,Domestic Medium Hair Mix,Black/White
Toby,12/2/13,Adoption,,Dog,Neutered Male,Labrador Retriever/Australian Kelpie,Tricolor
*Merrilee,8/5/15,Adoption,,Dog,Spayed Female,Australian Cattle Dog Mix,White/Red
Bear,9/4/14,Return to Owner,,Dog,Intact Male,Australian Shepherd,Black/White
Fitz,2/20/11,Return to Owner,,Dog,Neutered Male,St. Bernard Rough Coat/German Shepherd,Tan/Black
*Durango,7/10/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Black/White
,7/31/16,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,White/Tan
*Flower,9/22/13,Adoption,,Dog,Spayed Female,German Shepherd Mix,Brown/Tan
Morocco,6/13/15,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Buff
,4/30/15,Euthanasia,Suffering,Cat,Intact Female,Siamese Mix,Silver
,9/10/19,Transfer,Partner,Cat,Unknown,Domestic Shorthair,White/Brown Tabby
,7/16/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby
*Coffee,9/11/18,Adoption,,Dog,Neutered Male,Staffordshire Mix,Blue/White
,3/25/13,Euthanasia,Suffering,Dog,Intact Male,Miniature Poodle Mix,White
,2/26/16,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Lynx Point
,7/11/19,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Cream Tabby
,4/18/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Orange Tabby
,9/12/18,Adoption,,Dog,Spayed Female,Chihuahua Shorthair,Black/White
Bettie,12/14/14,Adoption,,Dog,Spayed Female,Australian Cattle Dog Mix,Black/White
*Telluride,7/10/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Black
*Pudding,7/9/13,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Torbie
Luna,7/28/17,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black/White
,12/3/04,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan
Melvin,9/12/18,Transfer,Partner,Dog,Neutered Male,Papillon/Dachshund,Black/White
Pantera,10/21/16,Return to Owner,,Dog,Intact Female,Great Dane Mix,Black
Sushi,10/29/12,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Brown/White
Gia,10/5/10,Adoption,,Dog,Spayed Female,Miniature Pinscher/Whippet,Tan/White
,12/5/05,Euthanasia,Suffering,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
Kiko,11/20/08,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Blue/White
Snickers,2/4/13,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Chocolate/White
Clark,4/29/11,Return to Owner,,Dog,Neutered Male,Staffordshire/Boxer,Black/White
Dobie,9/11/18,Adoption,,Dog,Neutered Male,Labrador Retriever,Brown
,4/1/12,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Calico
*Khaki,3/6/13,Adoption,,Dog,Neutered Male,Catahoula Mix,Brown Brindle/White
*Asha,6/16/11,Adoption,,Dog,Spayed Female,Pit Bull Mix,Red
,9/10/19,Transfer,Partner,Cat,Unknown,Domestic Shorthair,White/Calico
